query time,processing time,input event instants,input state instances,input state intervals,input dynamic phe. instances,input dynamic phe. intervals,user event instances,user event instants,user state instances,user state intervals,user dynamic phe. instances,user dynamic phe. intervals
1443657601,69,6748,0,0,0,0,108,6598,201,372,5,52
1443664801,75,12212,0,0,0,0,142,11984,259,677,12,145
1443672001,112,20057,0,0,0,0,187,19736,349,1034,13,266
1443679201,155,28505,0,0,0,0,241,28015,460,1422,25,362
1443686401,222,40565,0,0,0,0,294,39817,572,2056,46,472
1443693601,283,54394,0,0,0,0,333,53453,650,2633,55,579
1443700801,352,65521,0,0,0,0,360,64446,703,3046,57,640
1443708001,424,73577,0,0,0,0,380,72416,739,3307,61,681
1443715201,421,74943,0,0,0,0,361,73796,734,3456,66,742
1443722401,401,74235,0,0,0,0,342,73083,745,3348,68,690
1443729601,391,71180,0,0,0,0,336,70039,744,3211,68,621
1443736801,378,67720,0,0,0,0,311,66673,733,3085,65,577
1443744001,347,61277,0,0,0,0,284,60409,717,2709,56,547
1443751201,317,52730,0,0,0,0,273,51994,720,2394,50,520
1443758401,297,48799,0,0,0,0,270,48077,740,2265,54,542
1443765601,308,51254,0,0,0,0,256,50523,728,2312,53,601
1443772801,345,56862,0,0,0,0,261,56119,768,2453,59,628
1443780001,379,62631,0,0,0,0,248,61871,786,2745,66,744
1443787201,401,67195,0,0,0,0,257,66393,808,3007,66,821
1443794401,424,71004,0,0,0,0,279,70149,849,3190,67,879
1443801601,442,75197,0,0,0,0,288,74208,875,3521,66,997
1443808801,466,77844,0,0,0,0,290,76760,899,3749,70,1056
1443816001,466,77316,0,0,0,0,276,76259,894,3827,70,1119
1443823201,443,72043,0,0,0,0,283,70963,915,3949,66,1172
1443830401,409,63938,0,0,0,0,289,62913,932,3924,55,1156
1443837601,375,60791,0,0,0,0,294,59737,943,3963,50,1206
1443844801,366,59193,0,0,0,0,299,58139,956,4058,50,1279
1443852001,392,60855,0,0,0,0,307,59827,982,4397,49,1417
1443859201,375,59129,0,0,0,0,296,58176,985,4540,42,1402
1443866401,374,58717,0,0,0,0,331,57798,1045,4591,40,1427
1443873601,392,60626,0,0,0,0,347,59687,1093,4563,51,1376
1443880801,415,65355,0,0,0,0,355,64409,1134,4504,58,1303
1443888001,436,68906,0,0,0,0,351,67900,1152,4591,65,1320
1443895201,436,69410,0,0,0,0,368,68385,1197,4505,72,1270
1443902401,436,68136,0,0,0,0,384,67120,1236,4494,71,1252
1443909601,414,62790,0,0,0,0,370,61764,1246,4298,68,1188
1443916801,375,59432,0,0,0,0,351,58488,1218,4093,66,1234
1443924001,360,56238,0,0,0,0,301,55373,1196,4003,53,1217
1443931201,346,52372,0,0,0,0,290,51560,1181,4173,42,1352
1443938401,334,48613,0,0,0,0,271,47835,1163,4323,35,1466
1443945601,335,48401,0,0,0,0,241,47661,1147,4430,27,1440
1443952801,330,47723,0,0,0,0,204,47059,1139,4600,30,1538
1443960001,325,46992,0,0,0,0,170,46369,1130,4492,32,1461
1443967201,335,49004,0,0,0,0,157,48410,1136,4620,34,1468
1443974401,345,50934,0,0,0,0,156,50311,1147,4741,34,1472
1443981601,362,53416,0,0,0,0,157,52742,1156,5029,33,1553
1443988801,374,55357,0,0,0,0,166,54634,1179,5129,46,1573
1443996001,352,54634,0,0,0,0,160,53933,1174,5066,41,1558
1444003201,329,50596,0,0,0,0,147,49932,1163,4834,42,1517
1444010401,312,48575,0,0,0,0,149,47899,1166,4694,42,1436
1444017601,327,48664,0,0,0,0,144,47992,1170,4888,38,1614
1444024801,356,48963,0,0,0,0,152,48239,1187,4908,42,1680
1444032001,391,53744,0,0,0,0,170,52928,1232,5034,50,1668
1444039201,428,57088,0,0,0,0,178,56257,1249,5052,55,1636
1444046401,407,56702,0,0,0,0,179,55916,1252,4898,46,1478
1444053601,410,59396,0,0,0,0,193,58576,1281,4783,49,1411
1444060801,436,63746,0,0,0,0,201,62869,1293,4912,58,1486
1444068001,454,66564,0,0,0,0,199,65670,1294,5031,62,1551
1444075201,450,67125,0,0,0,0,201,66200,1294,4859,64,1433
