query time,processing time,input event instants,input state instances,input state intervals,input dynamic phe. instances,input dynamic phe. intervals,user event instances,user event instants,user state instances,user state intervals,user dynamic phe. instances,user dynamic phe. intervals
1443657601,79,6748,0,0,0,0,108,6598,205,420,5,52
1443664801,94,12211,0,0,0,0,141,11983,268,745,12,145
1443672001,126,13309,0,0,0,0,146,13138,318,880,13,214
1443679201,161,16293,0,0,0,0,166,16031,401,989,20,216
1443686401,239,20508,0,0,0,0,193,20081,471,1191,38,204
1443693601,347,25889,0,0,0,0,186,25438,518,1414,38,217
1443700801,397,24956,0,0,0,0,158,24629,512,1196,22,167
1443708001,432,19184,0,0,0,0,146,18964,504,940,18,101
1443715201,408,16170,0,0,0,0,137,15948,530,1059,32,156
1443722401,230,12869,0,0,0,0,126,12650,539,950,32,155
1443729601,185,9546,0,0,0,0,104,9381,534,769,15,92
1443736801,169,9778,0,0,0,0,88,9621,527,915,12,112
1443744001,193,10605,0,0,0,0,87,10451,536,970,13,133
1443751201,216,10899,0,0,0,0,98,10759,566,954,14,155
1443758401,241,12478,0,0,0,0,127,12297,605,1019,11,158
1443765601,362,17708,0,0,0,0,129,17493,625,1080,23,169
1443772801,551,24233,0,0,0,0,132,23990,661,1326,40,225
1443780001,557,24246,0,0,0,0,131,23998,685,1472,45,290
1443787201,666,19879,0,0,0,0,126,19655,684,1390,29,276
1443794401,420,18151,0,0,0,0,132,17899,704,1335,29,249
1443801601,428,18607,0,0,0,0,134,18266,740,1456,32,305
1443808801,429,17739,0,0,0,0,134,17370,760,1560,31,328
1443816001,352,14597,0,0,0,0,113,14348,750,1400,22,271
1443823201,298,11907,0,0,0,0,109,11696,742,1394,13,289
1443830401,277,10855,0,0,0,0,120,10644,772,1547,12,344
1443837601,326,12994,0,0,0,0,120,12772,791,1573,11,339
1443844801,396,15134,0,0,0,0,123,14881,814,1570,13,357
1443852001,484,18215,0,0,0,0,139,17989,849,1846,20,457
1443859201,550,18543,0,0,0,0,149,18303,886,1902,26,430
1443866401,454,15601,0,0,0,0,174,15341,954,1697,29,347
1443873601,462,16094,0,0,0,0,186,15859,967,1512,29,244
1443880801,561,18545,0,0,0,0,158,18307,991,1440,29,158
1443888001,633,19135,0,0,0,0,160,18857,1017,1645,29,286
1443895201,538,17049,0,0,0,0,172,16748,1050,1689,24,305
1443902401,462,14364,0,0,0,0,161,14101,1065,1767,15,284
1443909601,377,11595,0,0,0,0,130,11368,1061,1976,13,375
1443916801,335,9839,0,0,0,0,93,9671,1040,1961,12,405
1443924001,310,9049,0,0,0,0,75,8950,1037,1804,12,377
1443931201,302,9034,0,0,0,0,82,8931,1048,1800,13,373
1443938401,347,10920,0,0,0,0,85,10769,1055,1968,15,407
1443945601,475,15164,0,0,0,0,91,14958,1071,2032,18,377
1443952801,519,16159,0,0,0,0,88,15972,1083,1987,21,381
1443960001,423,12955,0,0,0,0,84,12809,1076,1816,20,307
1443967201,405,12876,0,0,0,0,84,12719,1078,1936,12,305
1443974401,444,13781,0,0,0,0,82,13613,1093,2204,18,418
1443981601,444,13461,0,0,0,0,79,13282,1101,2308,18,464
1443988801,433,13457,0,0,0,0,85,13254,1119,2289,25,471
1443996001,413,12138,0,0,0,0,72,11960,1104,2066,23,408
1444003201,346,10403,0,0,0,0,64,10256,1095,1877,14,320
1444010401,318,10100,0,0,0,0,72,9938,1106,1789,11,255
1444017601,361,11023,0,0,0,0,73,10869,1109,1975,11,410
1444024801,434,13264,0,0,0,0,84,13059,1128,2289,17,551
1444032001,616,18861,0,0,0,0,114,18549,1182,2458,31,475
1444039201,724,21586,0,0,0,0,124,21300,1198,2479,35,433
1444046401,609,16415,0,0,0,0,115,16242,1168,2140,27,321
1444053601,485,14446,0,0,0,0,108,14279,1168,1764,22,218
1444060801,605,17447,0,0,0,0,115,17209,1194,1893,41,319
1444068001,571,17268,0,0,0,0,99,17032,1175,2070,37,390
1444075201,477,14402,0,0,0,0,77,14200,1157,1939,15,330
1444082401,425,12762,0,0,0,0,73,12533,1150,1951,11,320
1444089601,442,13366,0,0,0,0,71,13126,1158,2024,15,324
1444096801,540,16537,0,0,0,0,93,16333,1192,2103,16,302
1444104001,726,21714,0,0,0,0,93,21507,1207,2189,14,300
1444111201,770,22542,0,0,0,0,89,22304,1212,2466,23,446
1444118401,760,22003,0,0,0,0,98,21734,1234,2620,34,496
1444125601,701,20129,0,0,0,0,111,19907,1243,2597,42,535
1444132801,516,15191,0,0,0,0,108,15068,1244,2286,41,451
1444140001,444,13370,0,0,0,0,88,13294,1224,1885,24,289
1444147201,627,18169,0,0,0,0,101,18003,1256,1913,29,261
1444154401,751,21697,0,0,0,0,102,21464,1269,2291,38,305
1444161601,640,18053,0,0,0,0,85,17868,1242,2506,24,377
1444168801,587,17003,0,0,0,0,78,16837,1238,2559,14,529
1444176001,602,17373,0,0,0,0,75,17218,1234,2457,10,473
1444183201,517,15032,0,0,0,0,85,14901,1247,2285,15,421
1444190401,532,15343,0,0,0,0,103,15178,1268,2353,26,437
1444197601,686,19882,0,0,0,0,117,19636,1286,2630,29,501
1444204801,903,25443,0,0,0,0,142,25140,1327,2654,40,483
1444212001,1503,33725,0,0,0,0,146,33367,1346,2596,41,409
1444219201,1256,34466,0,0,0,0,142,34134,1347,2408,42,300
1444226401,1019,28205,0,0,0,0,142,27978,1350,2156,46,214
1444233601,1030,27942,0,0,0,0,148,27669,1374,2085,51,229
1444240801,980,26690,0,0,0,0,135,26387,1379,2028,47,258
1444248001,922,24529,0,0,0,0,128,24294,1368,2297,35,427
1444255201,875,23530,0,0,0,0,126,23315,1362,2483,26,536
1444262401,726,19570,0,0,0,0,114,19391,1355,2250,32,397
1444269601,674,17993,0,0,0,0,114,17817,1377,2235,36,302
1444276801,736,20019,0,0,0,0,124,19826,1392,2528,30,463
1444284001,834,22338,0,0,0,0,132,22095,1408,2564,39,517
1444291201,903,23683,0,0,0,0,165,23382,1446,2810,54,580
1444298401,969,25077,0,0,0,0,173,24782,1478,3038,66,660
1444305601,993,25743,0,0,0,0,159,25472,1464,2831,63,525
1444312801,1018,26265,0,0,0,0,154,26016,1470,2759,48,454
1444320001,1125,28510,0,0,0,0,172,28199,1507,2635,61,426
1444327201,970,24594,0,0,0,0,168,24271,1493,2298,48,341
1444334401,700,17553,0,0,0,0,147,17341,1482,2128,49,323
1444341601,625,14837,0,0,0,0,140,14680,1481,2247,46,401
1444348801,587,14115,0,0,0,0,129,13966,1471,2626,37,497
1444356001,605,14881,0,0,0,0,143,14710,1499,2885,49,612
1444363201,614,14908,0,0,0,0,129,14736,1501,2724,54,643
1444370401,627,15121,0,0,0,0,124,14955,1502,2407,46,469
1444377601,739,17392,0,0,0,0,122,17226,1518,2335,52,314
1444384801,827,19417,0,0,0,0,119,19241,1539,2403,52,343
1444392001,831,19674,0,0,0,0,112,19512,1528,2229,37,268
1444399201,785,18542,0,0,0,0,120,18406,1538,2180,48,309
1444406401,811,19492,0,0,0,0,125,19269,1559,2257,57,379
1444413601,724,17373,0,0,0,0,105,17140,1553,2039,44,233
1444420801,588,12935,0,0,0,0,101,12785,1555,1843,27,150
1444428001,463,9921,0,0,0,0,108,9801,1558,1929,16,228
1444435201,394,7600,0,0,0,0,99,7515,1563,1992,11,322
1444442401,430,8727,0,0,0,0,104,8644,1587,1925,17,246
1444449601,463,9501,0,0,0,0,92,9429,1585,1998,16,307
1444456801,443,8473,0,0,0,0,86,8405,1582,1992,12,323
1444464001,467,8851,0,0,0,0,122,8742,1629,1927,16,190
1444471201,503,10214,0,0,0,0,127,10101,1650,2051,26,251
1444478401,610,13228,0,0,0,0,114,13118,1652,2167,29,256
1444485601,708,15294,0,0,0,0,128,15132,1692,2152,30,186
1444492801,758,15328,0,0,0,0,142,15125,1714,2232,33,243
1444500001,702,13624,0,0,0,0,129,13448,1716,2227,32,257
1444507201,633,12172,0,0,0,0,99,12047,1703,2049,23,184
1444514401,627,12195,0,0,0,0,94,12094,1711,2267,12,340
1444521601,594,10998,0,0,0,0,89,10914,1712,2370,12,511
1444528801,567,10462,0,0,0,0,102,10369,1738,2201,21,368
1444536001,533,10293,0,0,0,0,101,10200,1737,2199,20,331
1444543201,568,10429,0,0,0,0,84,10354,1732,2192,14,350
1444550401,581,11060,0,0,0,0,92,10944,1755,2222,22,337
1444557601,615,11632,0,0,0,0,96,11513,1779,2285,19,324
1444564801,606,11185,0,0,0,0,105,11081,1798,2167,30,203
1444572001,569,10666,0,0,0,0,112,10529,1803,2077,34,137
1444579201,629,11899,0,0,0,0,105,11740,1806,2138,23,182
1444586401,595,11143,0,0,0,0,108,11022,1813,2116,26,175
1444593601,488,8615,0,0,0,0,97,8539,1814,2132,41,206
1444600801,492,8381,0,0,0,0,99,8293,1826,2270,39,295
1444608001,501,8840,0,0,0,0,101,8728,1831,2302,30,366
1444615201,574,10599,0,0,0,0,127,10425,1868,2253,41,305
1444622401,723,13623,0,0,0,0,129,13410,1886,2339,39,346
1444629601,837,15676,0,0,0,0,169,15431,1944,2530,55,424
1444636801,1103,20846,0,0,0,0,226,20480,2002,2943,80,530
1444644001,1477,27283,0,0,0,0,199,26849,2013,3468,77,1161
1444651201,1505,26590,0,0,0,0,168,26282,1982,3130,52,1010
1444658401,1627,24325,0,0,0,0,165,24147,1984,2752,61,496
1444665601,1671,23495,0,0,0,0,157,23263,2006,2753,72,450
1444672801,1341,20164,0,0,0,0,127,19934,1997,2545,57,317
1444680001,1150,17761,0,0,0,0,126,17583,1994,2492,70,322
1444687201,1189,16686,0,0,0,0,157,16520,2028,2676,76,446
1444694401,1018,15328,0,0,0,0,143,15207,2024,2781,63,504
1444701601,847,13142,0,0,0,0,97,13059,1999,2591,43,380
1444708801,859,12483,0,0,0,0,93,12402,1998,2662,42,474
1444716001,974,14624,0,0,0,0,107,14503,2023,2825,78,634
1444723201,1172,17227,0,0,0,0,119,17077,2033,3130,92,1069
1444730401,1416,20747,0,0,0,0,125,20453,2049,3555,62,1343
1444737601,1453,21132,0,0,0,0,120,20747,2042,3291,58,760
1444744801,1221,18814,0,0,0,0,117,18559,2021,2824,42,386
1444752001,1252,19118,0,0,0,0,120,18906,2036,2650,60,347
1444759201,1225,19209,0,0,0,0,117,18995,2050,2640,52,323
1444766401,1052,16497,0,0,0,0,104,16346,2037,2649,36,339
1444773601,912,13965,0,0,0,0,107,13841,2040,2778,42,423
1444780801,838,12973,0,0,0,0,99,12879,2033,2881,40,517
1444788001,876,13671,0,0,0,0,97,13564,2042,2823,41,505
1444795201,815,13143,0,0,0,0,104,13018,2059,2945,47,576
1444802401,774,12601,0,0,0,0,116,12473,2072,2954,54,561
1444809601,891,14923,0,0,0,0,117,14770,2082,2943,48,505
1444816801,1051,17339,0,0,0,0,120,17173,2091,2995,42,491
1444824001,1121,18504,0,0,0,0,118,18303,2097,2741,42,286
1444831201,1219,19733,0,0,0,0,113,19528,2109,2749,41,274
1444838401,1232,20472,0,0,0,0,117,20259,2114,2821,36,318
1444845601,1150,19436,0,0,0,0,112,19217,2108,2738,48,288
