query time,processing time,input event instants,input state instances,input state intervals,input dynamic phe. instances,input dynamic phe. intervals,user event instances,user event instants,user state instances,user state intervals,user dynamic phe. instances,user dynamic phe. intervals
1443657601,112,6748,0,0,0,0,108,6598,205,420,5,52
1443664801,118,12212,0,0,0,0,142,11984,268,745,12,145
1443672001,189,20057,0,0,0,0,187,19736,357,1151,13,266
1443679201,223,28505,0,0,0,0,241,28015,465,1542,25,362
1443686401,325,40565,0,0,0,0,294,39817,577,2108,46,472
1443693601,339,54394,0,0,0,0,333,53453,655,2663,55,579
1443700801,402,65521,0,0,0,0,360,64446,707,2953,57,640
1443708001,486,73578,0,0,0,0,381,72417,743,3219,61,681
1443715201,511,81691,0,0,0,0,394,80394,775,3604,66,794
1443722401,781,86447,0,0,0,0,411,85067,807,3749,71,835
1443729601,538,91237,0,0,0,0,422,89775,837,3933,73,889
1443736801,562,96225,0,0,0,0,429,94688,851,4202,73,945
1443744001,591,101842,0,0,0,0,443,100226,876,4431,75,1018
1443751201,619,107124,0,0,0,0,465,105447,912,4675,79,1101
1443758401,662,114320,0,0,0,0,491,112523,956,4956,80,1177
1443765601,741,124831,0,0,0,0,498,122939,971,5234,85,1274
1443772801,784,131805,0,0,0,0,493,129915,991,5470,100,1362
1443780001,812,136866,0,0,0,0,476,134954,1004,5616,100,1417
1443787201,863,138375,0,0,0,0,479,136432,1011,5655,100,1429
1443794401,847,138724,0,0,0,0,475,136822,1033,5668,97,1435
1443801601,823,136474,0,0,0,0,459,134617,1041,5668,90,1513
1443808801,796,130574,0,0,0,0,448,128754,1049,5588,89,1542
1443816001,782,126115,0,0,0,0,434,124336,1052,5644,92,1659
1443823201,769,123297,0,0,0,0,436,121486,1061,5793,91,1776
1443830401,760,120800,0,0,0,0,442,119032,1089,5884,84,1837
1443837601,767,123422,0,0,0,0,446,121608,1104,6176,86,1961
1443844801,779,126388,0,0,0,0,461,124532,1127,6433,86,2108
1443852001,831,131859,0,0,0,0,480,129976,1162,6845,89,2305
1443859201,839,134326,0,0,0,0,491,132384,1183,7093,87,2409
1443866401,866,136561,0,0,0,0,526,134558,1250,7315,84,2487
1443873601,882,137942,0,0,0,0,522,135946,1277,7318,91,2487
1443880801,889,137398,0,0,0,0,535,135372,1321,7362,95,2466
1443888001,870,132844,0,0,0,0,534,130813,1338,7327,92,2400
1443895201,845,130201,0,0,0,0,553,128122,1383,7266,97,2468
1443902401,838,127329,0,0,0,0,570,125259,1413,7381,98,2529
1443909601,833,123645,0,0,0,0,562,121591,1419,7567,91,2601
1443916801,819,118561,0,0,0,0,530,116664,1383,7538,78,2621
1443924001,808,114955,0,0,0,0,512,113171,1365,7468,74,2641
1443931201,811,112998,0,0,0,0,506,111247,1367,7614,80,2731
1443938401,773,113968,0,0,0,0,491,112244,1363,7728,79,2768
1443945601,780,117307,0,0,0,0,471,115561,1357,7806,78,2763
1443952801,783,117133,0,0,0,0,461,115444,1358,7865,79,2811
1443960001,769,115128,0,0,0,0,451,113489,1364,7797,79,2715
1443967201,731,111794,0,0,0,0,436,110174,1371,7717,79,2656
1443974401,737,110366,0,0,0,0,421,108799,1357,7861,78,2704
1443981601,737,109654,0,0,0,0,374,108115,1343,8131,69,2771
1443988801,740,107729,0,0,0,0,369,106194,1341,8454,67,2921
1443996001,726,103247,0,0,0,0,346,101768,1315,8594,64,3025
1444003201,707,98997,0,0,0,0,313,97593,1299,8540,56,2958
1444010401,695,96298,0,0,0,0,276,94958,1280,8585,55,2975
1444017601,685,95656,0,0,0,0,238,94361,1263,8659,54,3077
1444024801,703,97967,0,0,0,0,234,96649,1277,8827,59,3151
1444032001,750,104678,0,0,0,0,245,103239,1321,9091,73,3148
1444039201,769,110504,0,0,0,0,261,108999,1349,9434,79,3200
1444046401,794,112059,0,0,0,0,267,110550,1367,9364,75,3028
1444053601,784,114030,0,0,0,0,278,112509,1388,9161,77,2945
1444060801,793,114342,0,0,0,0,274,112801,1389,9149,88,2977
1444068001,772,115139,0,0,0,0,275,113569,1389,9166,87,2967
1444075201,792,115789,0,0,0,0,272,114192,1392,9192,84,3003
1444082401,786,115025,0,0,0,0,263,113383,1385,9103,80,2982
1444089601,792,115374,0,0,0,0,257,113705,1385,8940,75,2907
1444096801,821,118101,0,0,0,0,261,116434,1396,8829,78,2822
1444104001,861,123631,0,0,0,0,254,121958,1400,8771,72,2750
1444111201,881,128505,0,0,0,0,252,126778,1414,9106,77,2827
1444118401,927,135231,0,0,0,0,258,133436,1431,9444,81,2939
1444125601,945,138534,0,0,0,0,265,136747,1447,9831,89,3104
1444132801,959,139399,0,0,0,0,267,137635,1449,9659,91,2994
1444140001,948,138640,0,0,0,0,257,136982,1435,9330,85,2867
1444147201,963,138707,0,0,0,0,251,137089,1421,9011,86,2788
1444154401,920,138751,0,0,0,0,240,137146,1413,9048,83,2744
1444161601,955,140345,0,0,0,0,237,138715,1416,9289,86,2845
1444168801,954,141308,0,0,0,0,227,139704,1402,9683,84,3004
1444176001,939,140271,0,0,0,0,218,138724,1396,9769,80,3014
1444183201,940,139072,0,0,0,0,216,137573,1397,9810,83,3043
1444190401,961,141212,0,0,0,0,223,139702,1405,10095,89,3123
1444197601,991,146192,0,0,0,0,232,144676,1430,10393,90,3205
1444204801,1083,153289,0,0,0,0,257,151716,1471,10652,100,3281
1444212001,1140,163380,0,0,0,0,270,161710,1504,10872,103,3361
1444219201,1177,166041,0,0,0,0,277,164343,1534,10811,116,3280
1444226401,1184,169043,0,0,0,0,292,167384,1553,10510,117,3118
1444233601,1204,171980,0,0,0,0,302,170278,1583,10204,112,2998
1444240801,1189,175604,0,0,0,0,305,173864,1606,9868,112,2849
1444248001,1229,181318,0,0,0,0,327,179504,1637,10142,117,2962
1444255201,1271,185764,0,0,0,0,342,183885,1654,10383,115,3066
1444262401,1272,182719,0,0,0,0,341,180892,1654,10383,119,3064
1444269601,1283,182060,0,0,0,0,347,180238,1674,10308,125,3129
1444276801,1291,184685,0,0,0,0,353,182850,1688,10314,121,3137
1444284001,1321,187395,0,0,0,0,361,185496,1714,10227,127,3089
1444291201,1342,190995,0,0,0,0,387,189014,1753,10572,138,3228
1444298401,1404,197440,0,0,0,0,409,195377,1789,10886,145,3330
1444305601,1430,201395,0,0,0,0,410,199308,1799,10940,148,3314
1444312801,1487,203823,0,0,0,0,418,201757,1814,10875,152,3271
1444320001,1513,204462,0,0,0,0,423,202367,1828,10784,145,3246
1444327201,1440,194692,0,0,0,0,423,192661,1837,10441,139,3069
1444334401,1399,187549,0,0,0,0,429,185574,1836,10384,141,3240
