query time,processing time,input event instants,input state intervals,input dynamic phe. intervals,user event instances,user event instants,user state instances,user state intervals,user dynamic phe. instances,user dynamic phe. intervals
1443657601,75,6741,0,0,107,6592,198,369,0,0
1443664801,160,12198,0,0,141,11971,256,674,1,1
1443672001,139,20029,0,0,186,19709,346,1031,2,3
1443679201,177,28463,0,0,239,27974,457,1419,9,11
1443686401,260,33773,0,0,260,33175,532,1825,26,34
1443693601,312,42132,0,0,261,41419,584,2140,29,41
1443700801,323,45423,0,0,262,44669,599,2240,28,43
1443708001,343,45041,0,0,237,44370,600,2170,25,35
1443715201,398,41088,0,0,211,40539,591,1968,30,41
1443722401,242,32014,0,0,197,31575,595,1584,25,36
1443729601,195,25674,0,0,180,25287,600,1366,20,27
1443736801,167,22601,0,0,162,22225,583,1319,19,24
1443744001,168,20108,0,0,134,19789,568,1164,8,8
1443751201,167,20639,0,0,129,20342,580,1257,14,15
1443758401,221,23040,0,0,153,22705,623,1355,12,13
1443765601,408,28559,0,0,166,28204,652,1455,24,32
1443772801,424,36667,0,0,197,36243,700,1765,35,64
1443780001,447,41901,0,0,188,41438,717,1983,44,86
1443787201,462,44061,0,0,174,43594,719,2165,46,93
1443794401,342,42350,0,0,188,41850,757,2244,43,65
1443801601,335,38437,0,0,184,37872,773,2290,33,53
1443808801,376,35843,0,0,186,35222,796,2324,27,44
1443816001,291,33162,0,0,181,32572,801,2237,26,37
1443823201,254,29601,0,0,181,29021,808,2305,20,29
1443830401,212,25411,0,0,175,24951,809,2254,3,3
1443837601,219,24860,0,0,173,24427,804,2280,1,3
1443844801,229,25942,0,0,180,25478,833,2486,4,8
1443852001,266,31162,0,0,194,30714,872,2769,8,16
1443859201,274,33631,0,0,203,33138,903,2988,12,20
1443866401,300,33778,0,0,237,33292,976,3028,27,38
1443873601,298,34598,0,0,246,34123,1019,2818,26,34
1443880801,265,34106,0,0,249,33608,1055,2498,34,41
1443888001,265,35182,0,0,250,34669,1061,2374,21,27
1443895201,287,35536,0,0,234,34997,1094,2291,18,20
1443902401,267,33446,0,0,248,32905,1118,2513,13,17
1443909601,251,28592,0,0,227,28064,1109,2668,8,17
1443916801,483,24159,0,0,187,23728,1078,2612,3,14
1443924001,397,20608,0,0,152,20282,1057,2643,2,13
1443931201,379,18832,0,0,119,18561,1045,2623,4,19
1443938401,387,19934,0,0,107,19684,1048,2635,6,23
1443945601,389,24148,0,0,116,23839,1066,2800,8,26
1443952801,470,27026,0,0,115,26688,1080,2945,16,34
1443960001,459,28070,0,0,114,27718,1094,2859,18,31
1443967201,1321,28982,0,0,117,28638,1101,2977,15,40
1443974401,724,26697,0,0,105,26383,1093,2934,15,74
1443981601,438,26305,0,0,104,25969,1100,3081,14,103
1443988801,383,27208,0,0,112,26837,1123,3279,15,114
1443996001,313,25575,0,0,102,25218,1113,3103,10,97
1444003201,267,23838,0,0,96,23488,1112,2925,7,60
1444010401,226,22219,0,0,95,21879,1109,2649,4,27
1444017601,219,21410,0,0,87,21109,1099,2655,4,28
1444024801,254,23348,0,0,103,22981,1129,2852,16,46
1444032001,373,29867,0,0,133,29401,1186,3167,26,73
1444039201,478,34833,0,0,145,34342,1212,3461,37,95
1444046401,313,35259,0,0,152,34774,1220,3297,36,89
1444053601,307,36015,0,0,158,35562,1233,2992,32,64
1444060801,317,33845,0,0,150,33434,1208,2808,37,66
1444068001,303,31698,0,0,136,31295,1196,2635,35,64
1444075201,290,31831,0,0,131,31391,1198,2635,26,48
1444082401,281,30012,0,0,112,29547,1174,2797,20,37
1444089601,280,27751,0,0,89,27309,1154,2730,8,20
1444096801,260,29281,0,0,113,28848,1179,2767,3,11
1444104001,275,35064,0,0,112,34617,1194,2910,4,24
1444111201,319,39063,0,0,116,38621,1225,3141,24,45
1444118401,355,43701,0,0,122,43225,1248,3401,22,53
1444125601,346,42655,0,0,121,42195,1245,3662,31,64
1444132801,319,37178,0,0,126,36786,1251,3491,37,61
1444140001,333,33483,0,0,130,33185,1249,3134,34,46
1444147201,332,33344,0,0,133,33055,1263,2895,27,40
1444154401,307,35051,0,0,119,34742,1261,2856,32,52
1444161601,302,36206,0,0,120,35855,1269,3138,23,39
1444168801,334,38683,0,0,118,38284,1269,3449,20,40
1444176001,382,35409,0,0,100,35069,1236,3592,8,28
1444183201,311,32017,0,0,103,31720,1242,3507,9,21
1444190401,329,32692,0,0,117,32372,1259,3392,13,33
1444197601,397,34891,0,0,136,34514,1292,3470,16,31
1444204801,344,40763,0,0,173,40295,1344,3577,30,61
1444212001,436,53582,0,0,185,52978,1376,3878,34,74
1444219201,620,59890,0,0,181,59255,1395,3804,58,94
1444226401,521,61763,0,0,185,61180,1401,3567,65,96
1444233601,462,61467,0,0,189,60865,1411,3321,53,71
1444240801,428,53217,0,0,183,52698,1417,2945,50,69
1444248001,427,50141,0,0,192,49646,1430,3136,39,60
1444255201,376,47232,0,0,185,46725,1426,3222,29,43
1444262401,331,41511,0,0,157,41112,1384,3173,29,42
1444269601,318,39675,0,0,166,39291,1396,3341,32,42
1444276801,337,38388,0,0,157,38021,1397,3397,13,22
1444284001,386,39936,0,0,162,39522,1437,3542,34,47
1444291201,448,43680,0,0,206,43186,1485,4197,37,60
